CANTON;J.29.1;F.16.1;Nuevos datos;I.25.1;I.25.2;I.25.3;I.25.4;I.25.5;I.25.6
ROCAFUERTE;800;44;2;2;1;1;2;1;1
SUCRE;1000;44;2;2;1;1;1;1;1
SUCRE;1100;44;2;1;1;1;2;1;1
SUCRE;800;48;2;1;1;1;2;2;1
ROCAFUERTE;1500;45;1;1;1;1;1;1;1
SUCRE;1200;52;1;1;1;5;1;1;1
ROCAFUERTE;1200;48;3;1;1;1;2;1;1
ROCAFUERTE;800;47;3;1;1;1;1;1;1
SUCRE;900;50;1;2;1;1;2;2;2
SUCRE;1100;45;3;2;2;1;2;2;2
ROCAFUERTE;2600;48;3;2;1;1;2;1;1
ROCAFUERTE;1800;46;3;2;1;1;2;2;1
ROCAFUERTE;1500;48;3;1;1;1;2;1;1
ROCAFUERTE;1100;50;3;2;2;2;2;2;3
SUCRE;1200;50;2;1;1;1;1;1;1
SUCRE;1200;44;1;1;1;1;1;1;1
PORTOVIEJO;1200;45;1;1;1;1;1;1;1
PORTOVIEJO;900;48;1;1;1;1;2;2;1
PORTOVIEJO;2100;48;1;1;1;1;1;1;1
PORTOVIEJO;800;48;2;1;1;5;1;1;1
PORTOVIEJO;1200;48;1;1;1;1;1;1;1
PORTOVIEJO;600;48;1;1;1;1;1;1;1
PORTOVIEJO;1000;56;2;1;1;1;1;1;1
ROCAFUERTE;1500;48;1;1;1;1;1;1;1
ROCAFUERTE;1600;56;1;2;2;5;2;1;1
ROCAFUERTE;1500;50;1;1;1;1;1;1;1
SUCRE;1400;50;2;1;1;1;1;1;1
ROCAFUERTE;1500;60;2;1;1;1;1;1;1
SUCRE;1000;64;2;1;1;1;1;1;1
SUCRE;1000;50;2;1;1;1;1;1;1
SUCRE;1200;66;2;1;1;1;1;1;1
ROCAFUERTE;1000;48;2;1;1;1;1;1;1
SUCRE;1600;50;2;1;1;1;1;1;1
SUCRE;1200;48;3;1;1;1;2;2;1
ROCAFUERTE;1600;48;1;1;1;1;1;2;1
ROCAFUERTE;1000;66;2;1;1;1;1;1;1
PORTOVIEJO;600;48;1;1;1;1;2;2;1
PORTOVIEJO;1200;48;2;1;1;1;1;1;1
SUCRE;800;40;1;2;1;1;2;1;1
PORTOVIEJO;2200;48;1;1;1;1;1;1;1
ROCAFUERTE;800;56;2;2;2;2;2;2;2
SUCRE;1600;50;1;1;1;1;1;1;1
SUCRE;1200;48;3;1;1;1;1;1;1
SUCRE;1200;50;1;2;1;1;2;1;1
ROCAFUERTE;600;48;1;2;2;2;2;2;2
ROCAFUERTE;1000;48;1;1;1;1;1;1;1
ROCAFUERTE;800;48;2;2;1;1;2;2;1
SUCRE;1000;48;3;1;1;1;2;2;1
ROCAFUERTE;900;48;3;1;1;1;3;2;1
ROCAFUERTE;1000;48;3;2;1;1;1;1;1
SUCRE;1300;48;3;2;2;1;2;2;1
SUCRE;1400;48;3;1;1;1;2;1;1
ROCAFUERTE;2000;48;3;2;1;1;1;1;1
