D.10.1;D.10.2;D.10.3;D.10.4;D.10.5;D.10.6;D.10.7;D.10.8;D.10.9;D.11.1;D.11.2;D.11.3;D.11.4;D.11.5;D.11.6;D.11.7;J.29.1;J.30.1;J.30.2;J.30.3;J.30.4;J.30.5;J.30.6;J.30.7;J.30.8;J.30.9;J.30.10;J.30.11;J.30.12
1;1;4;4;4;4;4;4;4;4;1;4;4;4;4;4;800;2;2;2;2;2;2;2;2;2;2;2;2
1;1;4;4;4;4;4;4;4;4;1;1;4;4;4;4;1000;2;2;2;2;2;2;2;2;2;1;2;1
1;1;4;4;4;4;4;4;4;4;1;1;4;4;4;4;1100;2;2;2;2;2;2;2;2;2;2;2;2
1;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;800;2;2;2;2;2;2;2;2;2;2;1;2
1;4;1;4;4;1;4;1;4;5;5;5;5;5;5;5;1500;1;1;2;2;3;3;3;3;2;3;2;3
1;5;5;5;5;1;4;5;5;5;5;5;5;5;5;5;1200;1;1;1;1;2;2;3;2;2;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1200;2;2;1;1;2;1;2;2;2;2;1;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;800;2;2;1;1;2;2;2;2;2;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;900;2;2;2;2;2;2;2;2;2;2;2;2
1;1;5;5;5;5;5;5;5;4;1;4;1;4;4;4;1100;3;3;2;2;2;2;3;2;2;2;2;2
1;5;5;5;5;5;1;5;5;5;1;1;1;5;5;5;2600;2;2;2;2;2;2;2;2;2;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1800;1;1;1;1;2;2;2;2;1;2;1;2
5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1500;2;2;2;2;2;2;2;2;2;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1100;2;2;2;2;2;2;2;2;1;2;1;2
1;1;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1200;2;2;1;1;2;2;1;1;1;1;1;1
1;4;4;4;1;1;4;4;4;5;5;5;5;5;5;5;1200;1;1;2;2;2;2;3;2;1;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1200;1;1;1;1;1;1;1;1;1;1;1;1
1;4;4;4;4;1;4;4;4;5;5;5;5;5;5;5;900;1;1;2;2;1;1;3;2;1;2;1;1
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;2100;1;1;2;2;1;1;3;2;3;2;1;1
1;1;1;4;4;4;4;1;4;1;1;1;1;1;1;1;800;2;2;2;2;2;2;2;2;2;2;2;2
1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1200;1;1;2;2;1;1;3;2;3;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;600;1;1;2;2;1;2;3;3;1;3;2;2
1;1;1;1;4;1;4;1;4;1;1;1;1;1;1;1;1000;1;1;1;1;2;2;3;3;2;2;2;2
1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1500;2;2;2;2;3;2;3;3;1;2;2;2
1;4;4;4;4;4;4;4;4;4;1;3;1;2;1;1;1600;2;2;2;2;2;2;3;3;3;2;2;2
1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1500;1;1;1;1;2;2;2;2;1;1;1;2
1;1;4;4;4;4;4;1;4;1;1;1;1;1;1;1;1400;2;2;1;1;2;2;1;1;1;1;1;1
1;1;5;5;5;5;5;1;5;1;1;1;1;1;1;1;1500;2;2;1;1;2;2;1;1;1;1;1;1
1;1;4;4;4;4;4;1;4;1;1;1;1;1;1;1;1000;2;2;1;1;2;2;1;1;1;1;1;1
