H.22.1;H.22.2;H.22.3;H.22.4;H.22.5;H.22.6;H.23.1;H.23.2;H.23.3;H.24.1;H.24.2;H.24.3;I.25.1;I.25.2;I.25.3;I.25.4;I.25.5;I.25.6;I.26.1;I.26.2;I.26.3;I.26.4;I.26.5;L.34.1;L.35.1;L.36.1;L.37.1;L.38.3;L.39.6;L.40.3;L.41.1;L.41.2;L.43.1;L.44.1
1;1;1;2;2;3;5;5;1;1;1;1;2;1;1;2;1;1;2;2;1;3;3;1;1;2;0;3;6;3;1;0;1;1
2;2;1;2;4;4;5;5;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;1;1;2;0;2;6;2;0;0;1;1
1;1;1;2;3;3;5;5;1;1;1;1;1;1;1;2;1;1;1;2;2;2;3;1;1;2;0;3;6;3;1;0;1;1
2;1;1;2;4;4;5;5;1;1;1;1;1;1;1;2;2;1;1;2;2;2;3;1;1;2;0;3;6;3;0;0;1;1
1;1;3;1;2;1;5;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;3;6;3;0;0;1;2
1;1;1;1;1;2;5;5;5;1;1;2;1;1;5;1;1;1;1;2;1;2;1;2;1;2;0;3;6;3;0;0;1;1
1;1;1;1;2;3;5;5;2;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;2;0;3;6;3;1;0;1;1
1;1;1;1;1;4;5;5;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;0;3;6;3;0;0;1;1
1;1;1;1;5;4;5;5;1;1;1;2;2;1;1;2;2;2;2;1;1;2;2;1;1;2;0;3;6;3;0;0;1;2
1;1;1;1;4;4;5;5;2;1;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;2;0;2;6;3;0;0;1;1
1;1;1;1;3;3;5;5;1;2;2;2;2;1;1;2;1;1;2;2;2;2;3;1;1;2;0;3;6;3;2;0;1;2
1;1;1;1;4;4;5;5;5;1;1;1;2;1;1;2;2;1;2;2;2;3;3;1;1;2;0;3;6;3;0;1;1;1
1;1;1;1;2;3;5;5;1;1;1;1;1;1;1;2;1;1;2;3;2;3;3;1;1;2;0;3;6;3;2;0;1;1
