MR1;MR2;MR8;MR3;MR4;MR5;MR6;MR7;MR9;MR1;MR2;MR3;MR5;MR4;MR6;MR7;MR2;MR1;MR3;MR4;MR9;MR7;MR8;MR6;MR5;MR1;MR5;MR2;MR3;MR4;MR7;MR6;J.29.1
-0.951166633983034;0.592358651896513;-0.080760529543661;0.572588353825578;-0.34844580425081;-0.704738628783683;162.152.975.741.414;0.66609561823039;-0.676022766918458;0.468632230716576;0.0942532992680194;-0.668646707364364;0.255579946656273;0.668952114923258;-156.140.275.925.337;-0.149938875843688;0.0450195642460834;0.5652674998657;-0.186805523851588;-0.539139877802172;-0.500460142691082;-0.120505058508768;0.714242328917166;-0.26962482174916;-0.868664457915876;0.208190165462692;0.600157520579826;-0.20407846445994;-0.121931717950379;-0.374238342780434;0.350510050966269;-0.395980406329256;800
-101.274.730.865.944;0.274088420039008;-0.325028785377248;0.448519047609178;-0.605848708806619;108.134.172.979.402;13.014.773.357.788;-0.651026762638271;-0.259708938559245;0.55271005162558;-129.822.332.770.159;-0.798048280912169;0.103964844132012;0.857858072069835;-173.831.390.181.243;-128.049.145.583.079;0.192096541588743;0.289199708903772;0.930867805692633;-0.450726467159734;-0.739898501524141;10.439.476.911.241;-0.0603441588075344;-0.468909769079718;-0.244384347420985;-0.147108523645153;0.331937238330154;-0.223218524318542;-0.0825733015957185;-0.406584859318691;-126.615.050.151.964;115.742.954.954.449;1000
-0.921341537402479;0.406417343848479;-0.22428704106308;0.35333416704923;-0.197778421787249;-0.572407282627469;-0.91790228102946;0.484540895745897;0.513545623162391;0.411697275277325;0.134808713163182;-0.746576549006917;0.268505603125318;0.696713124485805;-170.134.093.591.043;-0.710778307134384;0.0503681680717929;0.183898918776275;-12.640.084.222.462;0.0265581468687366;0.558561315584561;-0.525867521314425;-0.822160731198034;-0.48273107803492;-0.88854920374672;0.443050257256435;0.0935351280145286;-0.431413485761049;-0.127036315064186;-0.0390826817858251;-0.0713918177862483;-0.0469159100023109;1100
-0.885171687344102;0.353010325657239;-0.26543293266671;0.0185791339940914;-0.292868095615259;-0.683881651374198;111.760.098.458.822;-0.721064511183949;-0.186574746615795;0.252510317923116;-0.0530578786011524;-0.746575348745807;0.330822590452841;0.682942481007167;0.62727031286651;0.175535928810669;-0.0879225189856355;0.307077670806614;-0.714080235112036;-0.633309552600782;-0.492620203807961;-0.901992929623108;-0.850191158495234;-0.360029672431748;-113.241.010.309.933;0.216653532360764;0.00730472794708462;0.0568225638554101;-0.0861763829668356;-0.302276109582457;-0.590344563240705;109.547.785.126.698;800
-174.655.951.561.484;0.596849325936115;0.852170538868613;0.12506135285247;117.129.904.007.536;-186.476.662.539.426;-133.382.530.434.413;218.674.484.170.296;-228.469.321.685.484;0.55003087963164;340.459.387.368.286;-205.409.822.061.759;-154.273.951.532.979;-0.133385041105829;0.959166639728877;-0.702056793429941;0.0291142949076909;0.476916098363268;-104.549.383.761.345;-0.226704084929838;-122.626.737.741.446;0.174690883076981;0.691477405373687;-127.926.654.638.562;197.096.166.442.856;0.544484248240864;-234.185.828.333.997;-0.488461452351039;0.0217353469618039;-0.210895964119831;0.574102856848354;0.0783224388159358;1500
0.652597253789894;0.700091672081078;170.111.442.007.628;-0.35465057348527;157.612.766.110.706;-160.288.104.480.854;0.424710034329686;0.413332603118049;-0.366809721269608;0.479724518509585;0.905561078728476;0.974512632673512;-14.637.240.621.707;-117.488.066.370.917;0.715900269890396;0.286646792521074;0.18202831394844;0.588565315169832;-272.849.045.281.468;-0.51416447663803;-0.497656203343838;-114.993.430.083.322;0.377949448796569;176.187.813.513.849;0.311882889937486;0.639599879412227;-134.099.738.499.027;-0.0565265971338109;0.069216370418006;0.971541829439262;-109.134.200.590.629;-247.114.441.629.137;1200
0.975599076227799;0.395924532964356;-0.242657300211729;0.0397587805591742;-0.418797638127073;179.177.504.349.331;-0.350633190614161;121.295.815.491.891;-206.212.662.817.207;0.848259122817664;0.218333510000725;0.885090235072474;0.638746992159218;-13.816.544.982.863;0.711889750370491;-0.383543869052604;0.0370137610914702;0.337575969371164;-0.268279057560507;-0.758688416520224;133.874.886.701.087;0.115516242350017;-0.283126684977502;-0.503722050069283;-0.494691568736217;0.746915472174258;-13.214.629.724.364;-0.270224169274865;-0.0328996002053204;-0.0716692711681698;-0.758349215229061;-0.452183415640763;1200
104.523.304.999.303;0.410254644017244;-0.276057466601897;0.440003130314756;-0.318352801289624;188.479.439.397.045;-0.423479569887768;-0.336562512433345;-129.433.799.854.605;0.701305412599202;0.29015999045408;0.958218194722133;0.816593369034051;-145.556.201.888.003;0.768904041946991;-0.153016880805168;0.00966124139058197;0.566015461000554;-118.210.933.318.268;-0.733978266008277;158.380.006.981.243;-0.0137457109180445;-0.46419952927063;141.006.449.805.719;-0.658509372860094;0.579526893668695;-0.640954645008301;-0.510389553321308;-0.0537465766858066;-0.18987917149123;-0.812470812132332;-0.308990485864367;800
10.060.933.236.194;0.654705604550162;172.756.127.382.131;-0.301658687846242;0.471666576562209;-0.692809557016189;-143.398.173.798.171;-0.240175957247935;-0.477402349226705;0.651234685309324;-0.0376541949748882;104.405.928.354.005;0.480363765540384;0.766424748734619;0.909242501793436;-0.448760728082245;0.0243288451159143;0.342557072252369;-0.00948241675140164;-0.612129614749285;0.724336103166325;-0.507786439099704;-106.525.617.860.829;-0.315492466939921;-0.257099469759856;0.759283976225805;-112.368.260.917.138;132.270.198.610.131;0.0150000433461178;0.214979533498861;-0.245227341157314;11.174.944.317.188;900
108.264.162.969.102;13.581.367.729.446;-0.755905908925409;-0.401506494400627;17.969.361.839.512;149.069.259.064.096;0.115672356610045;-0.469614466436351;-0.314471834358732;0.0495705680960176;0.00193865865108883;11.687.841.013.312;21.203.067.614.086;0.605360770742373;-176.423.942.217.958;-111.427.199.542.442;-0.0924070666566793;0.573087640553705;0.446342809035561;-116.156.042.881.694;181.160.882.837.625;0.640678259118864;-0.163163914792892;-0.20542841115184;0.34466077639171;0.26647959382309;-0.087326846276344;230.053.521.433.803;-0.0198081561013336;-0.0506004511434156;-102.588.767.058.416;0.0381560574600392;1100
0.859704892480512;0.503887480169862;-0.391790909399635;0.461179444750571;-0.635824098830348;0.461078773008289;-0.202131476889475;303.931.307.215.898;-0.143899145429852;0.317516211787312;0.171344954774995;105.593.115.573.911;0.16960892044443;0.812700333749867;-206.655.485.818.383;103.975.361.486.778;-0.0315377978439933;108.713.848.047.599;-221.359.242.114.617;0.929776355712994;0.902184408044686;0.387178940602908;-0.0114307765578801;0.877159280685267;-0.76673727226512;0.374453076754303;0.956768928686607;-0.0824754619560262;-0.115929585904851;299.430.146.413.415;-0.325674357095078;-0.301325934601241;2600
125.812.425.997.167;-0.198064385597529;0.0545766546957667;0.743432282773556;0.0677354486266144;237.110.730.211.073;-0.816930082673644;-10.831.718.965.619;0.431151298902087;0.514951060822333;0.589607115593524;0.895148760208337;-114.367.967.167.617;-127.238.277.329.083;0.818035800274838;-0.0334968620959404;-0.119856446263593;106.697.725.532.359;-172.701.776.111.359;-0.77578287531294;0.433874831425859;-0.162773318514697;-0.95552872070828;136.009.344.953.502;-0.593048861867088;0.46153891425514;0.274489344756495;0.596332634928831;0.0231411635800412;0.266190839448278;-145.014.152.821.654;-0.526920137372366;1800
10.968.280.904.475;0.317115589452527;-0.472398958526531;0.328936696707771;-0.222154055775006;-0.868154492932606;0.441918977977106;-0.384662780666753;-0.830566060424098;0.550660067944938;-0.0175059686387321;105.199.891.082.445;0.490766672868304;0.843457263490268;132.782.393.251.294;0.230907134018625;0.0900352033771532;0.86618425230501;-0.917145886104461;-0.818421170950525;0.674795078114612;0.250526698339071;-0.60240566583928;148.202.966.245.254;-0.426475641759176;0.210757150716545;146.941.041.429.078;-0.42457958805997;-0.127141334070284;-0.207012263811577;0.0703022171643087;-143.023.884.983.941;1500
11.058.536.128.369;10.959.891.802.871;-0.778546430841783;0.989475870272261;0.177578792916171;-0.927909861723266;-115.173.454.908.664;-0.5732766964235;0.0732244131369382;0.7100132830742;-0.181913059342012;0.94839111050043;0.622365547586792;0.704715859922417;0.861102388424937;-0.495498439909523;0.0179536622199804;0.695079155994284;0.38800828486866;-0.64846189691478;-0.34490233005995;0.0646282940350333;-129.266.050.015.577;15.039.736.266.809;137.247.871.214.517;0.150750370765955;0.259162377043243;293.220.698.099.912;0.00330420737218432;-0.153339572600642;0.186107250173222;0.212189355085359;1100
165.890.020.954.233;-295.025.583.120.167;-112.558.093.491.451;-0.309137042094894;-0.578196533349123;-0.691401374307569;-0.276546247671653;-0.139941539767172;-0.346790134004645;-21.430.345.017.853;-235.379.968.085.985;-0.079502092689855;169.478.247.116.897;-133.309.419.752.347;0.154446525882728;-131.561.757.922.672;-0.0798683169271031;102.231.169.680.058;-111.234.254.340.188;-0.568517239728549;-0.0284931280225561;130.791.783.036.506;573.946.952.333.635;-106.646.115.189.346;-110.766.153.749.706;-0.607624407181399;-215.358.744.505.986;-0.265970657036778;0.116743894541804;-130.038.224.473.687;-124.740.330.454.724;-0.253136616956691;1200
-0.173079179636587;0.149497124710535;164.390.848.760.836;0.274309700473871;0.871023150789762;-0.00942287868878956;-0.010703030996958;-0.365779019456282;-0.926673487060462;150.801.090.578.177;0.530295861934453;-225.716.097.110.082;-225.369.299.331.051;0.940907623353355;-0.00801603249563212;0.180935033235423;-0.0740560740568099;0.756598102418225;-257.414.949.746.696;-0.491723802935433;-0.697926085658371;-0.765127925766876;0.208921297632148;-123.991.386.772.143;160.512.331.306.011;0.71880249605954;-169.786.002.548.786;-0.619944735307597;-0.0271169713825436;-0.33633551934436;0.592324076978659;-142.305.420.441.396;1200
0.993108209272736;-0.564875334101715;212.026.375.220.923;-0.605380718109372;0.137352119210265;-0.81515846218023;-0.0481405912305746;0.22341569980619;25.097.116.076.838;0.920899149303924;-230.382.529.031.921;0.791258092383485;-103.623.580.485.164;-0.639759698498147;0.826713997530668;-0.238158071471593;0.134828776279758;0.311154987782846;-0.768126501549965;-0.259682454377543;-112.091.619.726.623;-0.0850413251498863;0.725349543810736;-115.965.403.042.235;153.066.238.500.712;111.744.628.833.758;-238.535.272.413.838;-0.322934101806357;0.0842988380541773;0.105695156152846;165.516.544.136.309;-0.441792325285836;1200
0.858886611936712;-0.257700721476949;173.722.952.653.311;-0.173227714430744;0.0574753021643138;-0.358308406156902;-118.312.214.828.297;0.851906812317548;-0.0415330897120836;120.125.939.834.933;-0.616283217885879;-0.965939419432912;-23.046.259.767.219;128.811.104.962.797;0.528950788328461;-0.839994147025085;-0.060962505947784;0.374090265039615;0.399917568606559;-0.646143365539607;-0.75851585780989;-0.838835952960214;-0.341649120420093;-0.647481628320954;100.016.362.669.918;0.717554516093328;-154.005.461.320.278;0.229866421973618;-0.0118758937995768;0.0117969640452809;-0.201037989475914;116.948.309.597.856;900
0.668711947767309;0.5572720219334;194.486.955.006.614;-0.306244411015913;291.476.481.937.985;0.0882848974293917;-110.305.690.732.545;-11.408.401.961.501;106.729.757.994.937;0.718653085889297;-0.44555716902796;0.988602153829899;-247.108.700.961.327;148.789.155.968.287;0.804162154205983;-0.814117051074598;-0.0140418766108269;0.4092484971559;-0.936036608504213;-0.535956001933011;-0.86422744196033;-0.327505694294148;-0.860741726623921;-0.641935991683938;0.36885894293999;0.853569924688357;-193.684.794.268.651;-0.640676871522923;-0.063494399620912;-0.862114822388921;267.685.075.121.278;209.821.552.231.814;2100
-0.792829157240647;-271.436.122.076.912;-0.0453900367885283;-0.261669167074892;19.581.826.950.369;144.033.697.340.361;0.144340464779796;0.00246488319008191;-0.0187859970286914;-227.608.826.882.998;0.627765985826257;-156.717.851.512.951;0.20260521379146;0.565462920193827;0.484729043225388;-134.487.426.537.733;-969.343.421.135.375;-153.213.748.268.975;119.344.047.269.411;-124.820.744.421.071;0.0027126881415517;0.0816620088774625;-0.422354771310142;204.027.515.558.829;-0.385485579518864;-226.103.937.869.424;0.0171323019843247;-0.254152523903214;-0.0178122268872953;0.11384086784189;20.406.967.908.044;0.0724004605174552;800
0.758772271413131;0.748216822256945;194.213.067.506.569;-256.668.158.273.016;0.394959559307712;-0.261255993687425;253.161.834.050.096;0.516677128236801;-0.145736155672431;0.803778139502857;0.543367300356998;0.959363016910418;-228.553.330.096.895;121.706.891.634.842;0.480771031910477;-148.606.990.077.135;-0.0809604623417678;0.23273620535209;0.85842145252122;-0.654555342604572;-0.228125645144915;0.362226762795188;-0.120721757526929;-0.600950830344769;0.779190101973191;0.931689208137636;-19.491.725.623.922;-0.511552244391812;0.0363420272293103;-0.26162889693394;334.840.560.552.922;169.835.878.873.595;1200
0.886060437905822;-0.0346687844884619;215.445.741.551.991;0.980589543504675;-0.352679920760203;-0.330581819928614;-0.566731734132866;-0.487412827853555;0.935578314006327;0.340519621371792;210.720.275.190.603;112.320.338.844.275;-244.018.054.429.771;0.881932244976599;0.871047264340352;-0.73905429773086;0.0807184038870785;0.193476565728041;-0.515621228263624;112.837.388.867.211;0.69529739179237;-0.541210890551365;0.133698465410139;-109.853.303.171.462;230.358.064.554.053;0.750201978051201;-137.418.152.287.408;-0.756827320801856;-0.0715068533709212;-0.697885413306355;306.164.038.773.942;-12.887.565.880.074;600
0.737407131590009;-0.390962080357702;-0.706775639898193;-0.738039951185195;-0.0153880150548978;-13.534.021.412.715;0.0805829494104434;-0.0194077821728262;0.509778515100371;-218.919.027.174.505;26.325.512.524.071;-351.233.645.957.308;-247.670.127.760.302;-162.326.743.331.144;0.494669331576707;-0.0693716260757893;0.0393480423465726;0.1096369351031;-0.0891346285744251;-0.295713192764025;0.250162599541829;0.686822437160717;525.311.183.747.354;-0.286401876426686;0.328691380643366;-325.425.656.346.707;0.802155657010926;-0.371273200825408;-0.0653992471749986;107.322.954.983.954;133.025.931.793.023;102.503.604.456.324;1000
0.919165988856695;0.475174751720324;188.229.598.632.281;0.26999839107968;-0.593339101718012;0.405587949764624;-0.732246578265362;-0.484863238196773;-1.044.918.468.957;0.483945615120943;136.600.801.562.271;106.942.538.340.766;0.103847000696366;0.371902342200068;0.862979596584019;-114.343.008.340.325;-0.0288977622694256;0.554909167859258;0.0564954833396347;-0.612952009523077;0.308899736345772;0.754635456025978;-0.419323007423437;-0.498918178148264;173.436.890.082.691;0.398082866834127;-0.125670682084001;-0.305065309799961;-0.0211111912969374;0.0939164525173029;-179.080.183.334.888;-131.604.352.023.435;1500
0.970757034441952;101.910.484.167.346;195.386.952.428.656;-224.763.269.914.564;0.0726677735742669;-0.49326289772949;143.476.808.496.528;21.796.055.848.805;-0.654124951008592;-164.584.944.456.873;184.028.107.595.025;-0.00525061387161945;-0.972689983990261;0.735759161440922;-0.497586639991495;0.136148145804022;0.0680104450126362;0.976562030659402;0.651990668801121;-0.510498960919535;-0.0405795274580682;0.658694960290003;-0.18288723616177;22.608.700.294.952;185.891.857.850.475;0.106303112795029;-0.373387801330655;149.070.891.882.686;0.00968891588970037;0.725288719856908;-307.545.224.719.651;-0.978711188291419;1600
0.87108790866669;0.940047317348026;17.159.336.743.943;-0.403775986707593;106.303.731.395.544;-115.161.832.900.672;-176.649.416.420.668;0.319840770127991;0.746693200049461;0.79513192380334;0.0658259489286487;0.74356624306496;-108.832.294.992.627;-141.443.901.348.754;0.405400380630627;-124.898.650.252.634;-0.071355010306037;0.907084963200712;-194.278.541.452.362;-0.548369543927744;-0.226701857036539;-0.54637601366866;-0.631834822316799;-0.789834975671103;231.650.752.784.391;0.837572139431131;-188.425.624.043.279;-0.518708898981767;-0.0303230687995102;0.0582294750125695;0.898259206224027;0.143813761058672;1500
-0.616800783680177;-261.258.589.309.245;-0.439872644271908;-0.110290139185309;-0.477308300972047;-0.564042783568802;-0.445185305085092;-0.35629105905664;-0.916237941673042;-203.841.985.803.453;-208.079.417.659.932;-0.701852351729099;113.514.559.118.693;-120.549.639.057.169;0.280864331876426;-0.44508689717404;0.665177041438728;-335.218.589.573.953;-156.733.297.113.452;-0.443676774736717;-0.558284896547898;168.146.537.348.272;-0.0423697670402038;0.835278959757177;-0.86689058968334;-218.204.389.467.694;-107.308.415.237.145;-0.302579614501393;-0.0508214744432454;-0.208585166126654;-0.399819646583592;0.846866736626032;1400
136.972.904.029.424;-310.216.981.496.873;-0.849644199672965;-0.266809762947538;-0.611219619781845;-0.694920039847208;-0.309222845332742;-0.239612763410846;-0.158688804313438;-24.358.069.801.128;-197.686.434.466.061;110.504.664.717.828;126.311.403.676.827;-1.178.208.438.863;0.389079849442925;-136.885.016.902.581;0.275117261851591;0.639323380090933;-0.170411857219417;-0.222527953510902;-0.780218752773823;0.0121974236591003;390.289.847.433.731;110.907.906.315.074;0.712215225203505;-287.609.636.163.649;-101.208.557.386.835;-0.255475816045781;0.00824064862997223;-110.595.429.202.002;-0.477033337837374;0.0825088379632307;1500
121.843.503.590.507;-330.033.849.973.765;-0.639867020217136;-0.217583799427817;-0.960914935307719;-0.453051107143634;-0.302240716071408;-0.138506001992046;-0.838334432467571;-203.841.985.803.453;-208.079.417.659.932;-0.701852351729099;113.514.559.118.693;-120.549.639.057.169;0.280864331876426;-0.44508689717404;0.488098205277101;-18.255.023.426.118;-0.194330981915493;-0.286304210703727;-0.222415553185698;0.797647868225238;256.046.055.129.632;156.713.450.169.785;-0.170130558476335;-287.124.819.803.443;-105.179.162.332.818;-0.237784675435912;0.0147072092833897;-114.215.286.296.749;-0.257291151607958;0.264590456902041;1000
-0.260023063695854;-248.332.732.602.666;-0.380662034855478;-0.0937806235969309;-0.648606426990654;-0.458672353721835;0.0777436687387873;-0.694703506299604;-0.608420784352811;-199.365.640.408.056;-23.475.036.114.663;-0.732636189174762;163.884.278.621.624;-13.136.606.802.567;0.0905888444269041;-133.462.011.471.903;0.170925856705737;-21.122.355.625.903;-0.836901888535928;-0.746857040215768;0.285449056747097;137.011.258.964.444;259.928.457.146.419;-0.722381353218566;-0.54331470702659;-266.015.706.483.113;-0.920904290521677;-0.302534352179565;-0.0349766766747646;-0.993706026884328;-0.533253503001712;-0.482138093401338;1000
139.677.865.942.113;-314.562.237.272.695;-0.91770707928612;-0.298017530491702;-12.977.252.541.419;-0.238644608934941;0.498738749427447;-0.906642477323786;-0.0703260467096118;-200.032.242.776.569;-198.844.621.859.904;-0.806702543655728;102.931.650.229.512;-10.256.654.706.935;0.17804320861811;-0.952991235600434;0.507080848643477;-135.097.539.624.282;0.35814666725693;-0.357699270468092;-0.373890797563475;-0.659053528364264;394.256.207.319.402;-0.468214371605318;-0.426983625316052;-212.576.211.555.566;-0.9233328184886;-0.404802980623193;-0.0769204178307869;-0.384233007788714;-0.580133611602678;-112.710.930.207.464;1200
122.736.950.981.409;-364.516.031.942.613;-0.535869396733808;-0.219489818443752;-153.373.566.528.649;-0.279446294699185;0.297123190392629;-0.646562986086975;0.0179269472837085;-25.393.787.783.272;-219.183.872.504.525;135.371.167.634.143;0.994938143313851;-0.784901119975046;0.724675554232428;0.507329471500705;0.568334532545677;-333.418.553.406.341;-308.358.050.168.044;-0.551118073630273;-0.0955117317420044;-0.838268449452611;189.277.368.989.637;-142.570.531.406.795;-175.884.531.597.048;-202.293.669.925.444;-100.819.853.674.029;-0.348806767980597;-0.0530834035671208;-0.246185333635079;-0.447439349601419;-109.998.346.489.826;1000
130.626.147.048.241;-30.209.865.753.398;-109.615.496.356.753;-0.422795761521162;-118.273.814.635.724;-0.454720295237927;0.0660965893657916;-107.695.929.054.396;-0.731639909161866;-23.598.989.663.957;-188.031.330.591.075;-0.0478362123445485;133.698.993.702.102;-12.566.192.294.052;0.55872326809626;-188.615.508.648.617;0.0948898217436402;0.208377306426454;0.159882967205456;-0.289825781515148;-0.657646295357196;-16.727.295.743.203;411.876.376.174.992;-0.464378475330684;0.461160943595421;-196.172.625.351.969;-0.8868407152754;-0.370526071237245;-0.0665715144231994;-0.376622360469764;0.912777539133017;-115.296.462.001.054;1600
116.358.036.723.534;-0.455620478128246;0.0262521729497998;0.709202867673121;-0.637752792504615;-0.427269469707364;-0.153921569042751;-0.385386080263037;-204.271.721.173.551;0.81650188043387;-0.0525164630492497;0.904829877363866;0.51106951767264;0.70548736764598;0.689075124476596;-126.326.395.645.961;-0.142754133525519;0.399802164604594;0.934652453093581;-0.8025252164019;0.187139327892985;-0.0662941772983809;-0.41757427711501;-0.285659841957249;109.897.571.785.945;0.669398313866508;0.0479641967131263;0.306512378940009;-0.0115225325026619;0.933966759926846;-0.764843183010389;-0.750886640464129;1200
0.79185330715357;-0.548487224420257;198.903.001.739.522;0.666256323378852;-0.342051735248487;146.081.944.544.494;0.400613793994448;-0.231329041428698;11.016.164.788.508;0.301865294479922;178.446.263.999.764;10.288.337.161.214;-194.391.113.440.544;0.602587282363169;0.867355438750133;-130.564.507.336.356;0.0288245097900989;0.186225049732314;-0.559207494888904;0.703747905517421;-0.0795971822246259;0.321315031317759;-0.815645300662939;-106.270.731.089.382;0.998690512672189;0.584979548600342;-111.759.855.663.586;-0.135322221892799;-0.0273031823507744;-0.307139694941949;-0.409550518492739;-0.589933680281073;1600
-0.863927158369085;-208.611.604.969.175;0.313027192964035;-0.239880009286571;268.078.739.089.852;-0.444179225411994;0.11428866865049;0.0899148802980273;-0.365321841266791;-160.024.236.513.846;0.396980899745841;-0.13448757616313;-0.175338500900211;0.956757110984891;-0.233390218445825;0.317470862339128;0.518678501683131;-229.199.074.926.615;-0.915020384628441;0.023959401555534;-0.819189877169383;101.916.891.775.986;0.526298211855674;178.930.169.420.619;-0.30896359542199;-281.926.426.025.363;-0.985789906152835;-0.25630719870036;-0.0327147475508893;-0.956105859375903;-0.485633799983886;146.471.210.812.295;1000
-0.395124151674119;0.0804759128134778;1.931.493.362.308;-0.300438885356836;-0.373420636976078;-0.297539634328735;0.337480101876135;-0.654552238667556;157.652.186.295.744;-260.609.388.555.428;0.678185661811897;143.851.303.968.094;-153.640.109.585.963;-109.081.012.728.905;-0.147902495356209;-140.955.192.378.508;-0.15703819808509;-0.399610489498805;-178.504.797.733.965;-0.0470731506490761;-11.154.398.510.268;-144.441.482.270.693;-0.208477313585618;-158.935.324.716.419;0.790982259669814;0.853925790594051;-0.62917939013687;-0.264688820248003;-0.0194358754089478;0.446134853245006;0.322101770339275;-199.969.312.816.455;600
0.154930930780576;-0.478591164070265;0.111957241212825;-203.616.269.292.091;-346.873.852.792.894;-120.436.641.105.164;-171.884.788.429.046;418.060.968.335.307;-151.894.045.751.447;-166.260.710.177.602;-0.650620472929103;-0.273208679072067;0.951171106012286;-0.947915348081542;-0.153179857462182;129.352.809.380.802;0.168969242468862;0.991704314175984;0.647802651150805;-0.581311888479425;-0.542423130035739;0.128888302191756;327.191.314.176.966;181.839.909.649.843;0.539955506031733;-295.522.082.724.685;0.581443369825625;-0.365814206875627;-0.11641080365858;-127.967.198.974.041;0.79023266603015;-124.397.654.778.338;1200
0.925904911664098;0.437312607269367;204.293.428.403.603;-0.495251697903406;130.754.882.253.278;-130.471.106.267.109;-0.38313959241934;0.152431680658696;-0.230086622919197;0.930981689597812;224.856.564.740.318;-0.796404519475127;0.24418374230363;-0.0114812858150946;0.424010718124712;-0.85475230313027;0.110781727147664;122.722.859.465.576;-215.555.358.609.932;-0.405450365931864;-113.980.187.443.736;-0.192464458177543;-0.294727656822614;147.171.039.727.899;235.303.242.976.283;0.549714066331285;-0.938040794255087;-0.052572222584509;-0.0574508927440644;-0.215072298526969;0.255756060446489;-150.245.533.544.702;800
0.620610211217313;0.978116667419125;221.384.194.591.535;-0.721896042530929;0.684890548976605;-155.967.041.060.568;-0.411949279685069;17.184.221.023.772;-0.245028710253588;0.818291193331456;-162.262.910.700.795;0.929007561329997;-194.429.031.916.564;180.013.771.747.954;0.839526737706527;-0.234767807054578;-0.0389568680823486;0.595754405241463;-129.913.036.177.374;-0.504047091643618;-120.662.196.323.175;0.384599211357925;-0.516198313223347;-0.832225130227788;0.888876059147638;0.8154439505976;-174.048.078.844.802;-0.657492789614707;-0.0037929378513227;-0.162169835647598;102.098.586.850.288;0.357018692794176;2200
-135.552.361.619.469;-0.742328468348164;-0.693317100375004;-124.703.905.343.946;386.546.019.536.706;-0.00630715046983604;-113.101.350.674.131;586.438.696.486.457;0.348038017762664;122.020.769.984.502;-0.0108256979528828;-452.471.176.392.745;0.224017471103615;0.416764259054239;-0.0877178598472682;-0.338930192972033;-126.584.518.890.887;-509.811.514.881.733;0.541784216512597;-0.558228362514827;320.549.101.342.482;-43.921.763.469.255;-108.481.593.153.996;114.737.337.965.037;311.579.047.009.276;-230.424.742.726.685;109.790.223.976.534;227.716.635.293.122;-0.0819669856230131;0.111725251763165;0.0660945434487214;-241.780.125.555.661;800
0.823504318658922;-0.285806614600085;197.123.040.822.623;-0.0646832064747691;-0.14757168762157;223.426.998.600.796;-0.99998832970612;-0.140199438550999;-126.522.873.310.733;0.657279250555162;0.217428596684011;106.582.182.494.185;0.209377521771022;0.85407877205102;0.853890978474335;-0.329769912736498;-0.0356905171068948;0.370293665387306;-159.442.121.024.027;-0.458960479881124;113.629.276.033.113;0.433633341213985;0.384313101822919;0.929686331634382;100.269.071.527.347;0.581097143668767;-0.405419670796006;-0.646954379900104;-0.0873563886767993;-0.140439601211592;0.0873255287192984;-0.954081093297664;1600
0.922651687430563;0.0133587588104489;170.800.719.179.207;0.709340380260902;-0.162487752010839;236.020.871.918.079;0.663065675650705;-0.795683462822724;-12.695.798.704.108;0.705277718328515;-0.117327790159947;0.973187635221411;0.514707537639266;0.734046204288332;0.856971170346731;-0.422584370119479;0.00401850203966817;0.203740989269277;-119.800.144.441.247;-0.703712877320152;0.477240385702385;-0.444673949243632;-0.352729416303502;-0.490952149866869;-0.759611912362913;0.266886713774767;0.386552722725269;-0.585453626345357;-0.081333238936834;-0.157010541821219;-0.246531616944109;-0.623660475524132;1200
0.867852210564243;-0.140407315063932;205.028.233.360.272;-0.279124653832589;-0.436564777571875;-0.403768883017964;-0.192843120774532;-0.480943662643815;0.780150131483995;0.451236737712795;19.521.395.194.663;0.949724462567959;-183.640.532.277.762;-154.556.338.082.594;0.626805553853522;-0.736686326085475;-0.0404694656287141;15.030.138.939.723;0.0571077744003668;-0.65400119887644;0.25637033898628;102.556.703.390.164;-0.62529958315957;195.371.302.268.568;252.773.024.575.272;0.851304393089711;-181.242.136.977.178;0.0720388044585002;-0.0443392762111171;-0.0282188610467706;-104.587.772.173.559;0.947263349728191;1200
-0.776376021420233;108.312.504.198.834;211.811.737.153.132;161.563.461.145.263;-0.213483440215518;-0.817375773932243;0.914956707910422;-0.63239740408194;-0.379896510209337;0.932291419183689;-0.295899718588661;100.644.165.487.395;24.167.096.276.432;0.560602164594795;0.65610496717632;-0.738858678588266;0.1579428977574;0.281410628354849;0.580637546912085;-0.770427689109285;0.954644302395889;147.857.224.087.693;0.182559492213925;-0.346345354165797;202.045.564.438.684;0.204969482659513;-0.369581608466528;241.480.937.317.093;0.0282801261229672;0.221465770154852;-0.167655632011864;-238.976.146.975.619;600
